"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 25 14:25:21 CST 2021","Thu Mar 25 14:25:29 CST 2021","7472","TestCase","test_D_supplierbackstage","Test_SupplierBackStage","","","testKBuscard","供应商后台——名片交换"
"passed","Thu Mar 25 14:24:44 CST 2021","Thu Mar 25 14:24:47 CST 2021","3572","TestCase","test_D_supplierbackstage","Test_SupplierBackStage","","","testCDataAnalysis","供应商后台——市场数据分析"
"passed","Thu Mar 25 14:25:31 CST 2021","Thu Mar 25 14:25:34 CST 2021","2995","TestCase","test_D_supplierbackstage","Test_SupplierBackStage","","","testMOnlineMeeting","供应商后台——我的对接会"
"passed","Thu Mar 25 14:25:19 CST 2021","Thu Mar 25 14:25:21 CST 2021","2471","TestCase","test_D_supplierbackstage","Test_SupplierBackStage","","","testJRegisterIndex","供应商后台——资格预审表"
"passed","Thu Mar 25 14:26:04 CST 2021","Thu Mar 25 14:26:18 CST 2021","14264","TestCase","test_D_supplierbackstage","Test_SupplierBackStage","","","testXCompanyHall","供应商后台——企业展厅"
"passed","Thu Mar 25 14:26:01 CST 2021","Thu Mar 25 14:26:04 CST 2021","2979","TestCase","test_D_supplierbackstage","Test_SupplierBackStage","","","testWAccountManage","供应商后台——账号管理"
"passed","Thu Mar 25 14:25:29 CST 2021","Thu Mar 25 14:25:31 CST 2021","2586","TestCase","test_D_supplierbackstage","Test_SupplierBackStage","","","testLStorage","供应商后台——入库管理"
"passed","Thu Mar 25 14:25:16 CST 2021","Thu Mar 25 14:25:19 CST 2021","3295","TestCase","test_D_supplierbackstage","Test_SupplierBackStage","","","testIMenhuManage","供应商后台——采招门户管理"
"passed","Thu Mar 25 14:24:47 CST 2021","Thu Mar 25 14:24:50 CST 2021","2706","TestCase","test_D_supplierbackstage","Test_SupplierBackStage","","","testDNotice","供应商后台——通知"
"passed","Thu Mar 25 14:25:44 CST 2021","Thu Mar 25 14:25:47 CST 2021","2586","TestCase","test_D_supplierbackstage","Test_SupplierBackStage","","","testQProductManagge","供应商后台——产品管理"
"passed","Thu Mar 25 14:24:31 CST 2021","Thu Mar 25 14:24:39 CST 2021","7909","TestCase","test_D_supplierbackstage","Test_SupplierBackStage","","","testAUserSetting","供应商后台——个人设置"
"passed","Thu Mar 25 14:25:58 CST 2021","Thu Mar 25 14:26:01 CST 2021","2583","TestCase","test_D_supplierbackstage","Test_SupplierBackStage","","","testVDomain","供应商后台——二级域名"
"passed","Thu Mar 25 14:25:10 CST 2021","Thu Mar 25 14:25:16 CST 2021","5554","TestCase","test_D_supplierbackstage","Test_SupplierBackStage","","","testHRecruitApply","供应商后台——主动申请入库"
"passed","Thu Mar 25 14:25:41 CST 2021","Thu Mar 25 14:25:44 CST 2021","3393","TestCase","test_D_supplierbackstage","Test_SupplierBackStage","","","testPCaseManage","供应商后台——案例管理"
"passed","Thu Mar 25 14:24:39 CST 2021","Thu Mar 25 14:24:44 CST 2021","4676","TestCase","test_D_supplierbackstage","Test_SupplierBackStage","","","testBDataCount","供应商后台——营销数据统计"
"passed","Thu Mar 25 14:25:47 CST 2021","Thu Mar 25 14:25:49 CST 2021","2583","TestCase","test_D_supplierbackstage","Test_SupplierBackStage","","","testRAritcleList","供应商后台——企业风采"
"passed","Thu Mar 25 14:25:37 CST 2021","Thu Mar 25 14:25:41 CST 2021","3491","TestCase","test_D_supplierbackstage","Test_SupplierBackStage","","","testOWinbidPublic","供应商后台——中标发布"
"passed","Thu Mar 25 14:25:06 CST 2021","Thu Mar 25 14:25:10 CST 2021","4218","TestCase","test_D_supplierbackstage","Test_SupplierBackStage","","","testGMyrecruit","供应商后台——我的招募"
"passed","Thu Mar 25 14:24:50 CST 2021","Thu Mar 25 14:24:54 CST 2021","3341","TestCase","test_D_supplierbackstage","Test_SupplierBackStage","","","testESignUp","供应商后台——待报名"
"passed","Thu Mar 25 14:25:49 CST 2021","Thu Mar 25 14:25:52 CST 2021","2491","TestCase","test_D_supplierbackstage","Test_SupplierBackStage","","","testShowRoom","供应商后台——展厅轮播图"
"passed","Thu Mar 25 14:24:54 CST 2021","Thu Mar 25 14:25:06 CST 2021","12267","TestCase","test_D_supplierbackstage","Test_SupplierBackStage","","","testFMyBidding","供应商后台——我的招标"
"passed","Thu Mar 25 14:25:34 CST 2021","Thu Mar 25 14:25:37 CST 2021","2658","TestCase","test_D_supplierbackstage","Test_SupplierBackStage","","","testNSupplierArchive","供应商后台——企业档案"
"passed","Thu Mar 25 14:25:52 CST 2021","Thu Mar 25 14:25:56 CST 2021","4309","TestCase","test_D_supplierbackstage","Test_SupplierBackStage","","","testTAdmanage","供应商后台——广告位管理"
"passed","Thu Mar 25 14:25:56 CST 2021","Thu Mar 25 14:25:58 CST 2021","2111","TestCase","test_D_supplierbackstage","Test_SupplierBackStage","","","testUTargetedPromotion","供应商后台——定向推广"
"passed","Thu Mar 25 14:24:00 CST 2021","Thu Mar 25 14:24:31 CST 2021","31222","TestCase","test_D_supplierbackstage","Test_SupplierBackStage","","","testASupplierWorkStation","供应商后台——供应商工作台"
