 Thu, 25 Mar 2021 14:24:00  INFO loginPage.py login [ line:27 ] 登录成功
 Thu, 25 Mar 2021 14:24:05  INFO supplierBackStage.py checkWorkStation [ line:75 ] ——检查工作台界面——
 Thu, 25 Mar 2021 14:24:13  INFO supplierBackStage.py checkWorkStation [ line:81 ] ——工作台界面显示正常——
 Thu, 25 Mar 2021 14:24:15  INFO supplierBackStage.py checkWorkStation [ line:85 ] ——工作台-浏览记录界面显示正常
 Thu, 25 Mar 2021 14:24:27  INFO supplierBackStage.py checkWorkStation [ line:91 ] ——工作台-发票订单界面显示正常——
 Thu, 25 Mar 2021 14:24:31  INFO supplierBackStage.py checkUserSetting [ line:106 ] ——检查个人设置界面——
 Thu, 25 Mar 2021 14:24:33  INFO supplierBackStage.py checkUserSetting [ line:111 ] ——个人设置-个人资料界面显示正常——
 Thu, 25 Mar 2021 14:24:35  INFO supplierBackStage.py checkUserSetting [ line:115 ] ——个人设置-账号安全界面显示正常——
 Thu, 25 Mar 2021 14:24:37  INFO supplierBackStage.py checkUserSetting [ line:119 ] ——认证界面显示正常——
 Thu, 25 Mar 2021 14:24:39  INFO supplierBackStage.py checkDatacount [ line:135 ] ——检查营销数据统计界面——
 Thu, 25 Mar 2021 14:24:42  INFO supplierBackStage.py checkDatacount [ line:140 ] ——营销数据统计界面显示正常——
 Thu, 25 Mar 2021 14:24:44  INFO supplierBackStage.py checkDataAnalysis [ line:152 ] ——检查营销数据分析界面——
 Thu, 25 Mar 2021 14:24:45  INFO supplierBackStage.py checkDataAnalysis [ line:156 ] ——营销数据分析界面显示正常——
 Thu, 25 Mar 2021 14:24:47  INFO supplierBackStage.py checkMessage [ line:169 ] ——检查供应商通知界面——
 Thu, 25 Mar 2021 14:24:48  INFO supplierBackStage.py checkMessage [ line:173 ] ——供应商通知界面显示正常——
 Thu, 25 Mar 2021 14:24:50  INFO supplierBackStage.py checkSignUp [ line:185 ] ——检查待报名界面——
 Thu, 25 Mar 2021 14:24:52  INFO supplierBackStage.py checkSignUp [ line:189 ] ——待报名界面显示正常——
 Thu, 25 Mar 2021 14:24:54  INFO supplierBackStage.py checkMybidding [ line:202 ] ——检查我的招标界面——
 Thu, 25 Mar 2021 14:25:04  INFO supplierBackStage.py checkMybidding [ line:209 ] ——我的招标界面显示正常——
 Thu, 25 Mar 2021 14:25:06  INFO supplierBackStage.py checkMyrecruit [ line:222 ] ——检查我的招募界面——
 Thu, 25 Mar 2021 14:25:08  INFO supplierBackStage.py checkMyrecruit [ line:229 ] ——我的招募界面显示正常——
 Thu, 25 Mar 2021 14:25:10  INFO supplierBackStage.py checkRecruitApply [ line:242 ] ——检查主动申请入库界面——
 Thu, 25 Mar 2021 14:25:11  INFO supplierBackStage.py checkRecruitApply [ line:246 ] ——主动申请入库界面显示正常——
 Thu, 25 Mar 2021 14:25:14  INFO supplierBackStage.py checkRecruitApply [ line:250 ] ——开发商入库界面正常打开——
 Thu, 25 Mar 2021 14:25:16  INFO supplierBackStage.py checkMenhumanage [ line:268 ] ——检查采购门户管理界面——
 Thu, 25 Mar 2021 14:25:17  INFO supplierBackStage.py checkMenhumanage [ line:272 ] ——采购门户管理界面显示正常——
 Thu, 25 Mar 2021 14:25:19  INFO supplierBackStage.py checkRegistrationindex [ line:283 ] ——检查资格预审界面——
 Thu, 25 Mar 2021 14:25:19  INFO supplierBackStage.py checkRegistrationindex [ line:287 ] ——资格预审界面显示正常——
 Thu, 25 Mar 2021 14:25:21  INFO supplierBackStage.py checkBuscard [ line:300 ] ——检查名片交换界面——
 Thu, 25 Mar 2021 14:25:27  INFO supplierBackStage.py checkBuscard [ line:313 ] ——名片交换界面显示正常——
 Thu, 25 Mar 2021 14:25:29  INFO supplierBackStage.py checkStorage [ line:326 ] ——检查入库管理界面——
 Thu, 25 Mar 2021 14:25:29  INFO supplierBackStage.py checkStorage [ line:330 ] ——入库管理界面显示正常——
 Thu, 25 Mar 2021 14:25:31  INFO supplierBackStage.py checkOnlinemeeting [ line:342 ] ——检查我的对接会界面——
 Thu, 25 Mar 2021 14:25:32  INFO supplierBackStage.py checkOnlinemeeting [ line:346 ] ——我的对接会界面显示正常——
 Thu, 25 Mar 2021 14:25:34  INFO supplierBackStage.py checkSupplierArchive [ line:358 ] ——检查企业档案界面——
 Thu, 25 Mar 2021 14:25:35  INFO supplierBackStage.py checkSupplierArchive [ line:362 ] ——企业档案界面显示正常——
 Thu, 25 Mar 2021 14:25:37  INFO supplierBackStage.py checkWinbid [ line:374 ] ——检查中标发布界面——
 Thu, 25 Mar 2021 14:25:39  INFO supplierBackStage.py checkWinbid [ line:379 ] ——中标发布界面显示正常——
